AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
-2.817147e-02,-1.881929e-02, 2.229027e-04,-1.688423e-02,-4.976403e-03,-1.978242e-02,-3.745315e-03,-1.188312e-02,-1.444782e-02,-2.051729e-02,-1.598575e-02,-2.644548e-02,-6.925895e-03,-2.904991e-02,-2.570412e-02,-3.894726e-02,-2.587369e-02,-1.562747e-02,-3.151509e-02,-5.278637e-02,-3.563055e-02,-7.386703e-03,-2.039371e-02,-2.303322e-02,-4.759112e-02,-1.136932e-02,-1.806217e-02,-1.992033e-02,-9.884481e-03,-3.997171e-02,-2.139457e-02,-9.916186e-03,-1.461345e-02,-1.439657e-02,-2.055354e-02,-3.906258e-02,-1.536627e-02,-2.087374e-02,-1.835611e-02, 1.980816e-02,-1.463840e-02,-2.084562e-02,-1.905396e-02,-3.122242e-02,-2.098012e-02,-1.905612e-02,-1.573501e-02,-1.127610e-02,-3.946803e-03,-6.984457e-03,-3.104483e-02, 0.000000e+00,-2.639501e-02,-9.848608e-03,-2.079552e-02,-2.392899e-02,-2.812750e-02,-1.104430e-02,-1.494980e-02,-4.173882e-03,-3.338880e-02,-1.606112e-02,-2.255253e-02,-5.717574e-03, 1.486282e-02,-3.125809e-02,-9.195675e-03,-1.059132e-02,-5.089702e-02,-1.610016e-02,-1.688959e-02,-1.402375e-02,-7.518150e-03,-5.426184e-03,-4.754632e-03,-7.529163e-03,-4.711886e-03,-1.668941e-02,-1.915572e-02,-3.342164e-02,-4.253717e-03, 4.100812e-03,-9.447632e-03,-1.792095e-02,-1.373713e-02,-1.355304e-02,-4.204103e-02,-1.552036e-02,-1.647153e-02,-3.380832e-02,-2.002156e-02,-2.409079e-02,-2.207359e-02,-8.304879e-03,-2.742261e-02,-2.910242e-03,-2.736169e-02
 9.437592e-05,-4.950110e-03,-1.135609e-02,-7.213137e-03,-2.014455e-02,-1.418198e-02,-1.127818e-02,-3.221747e-02,-2.646725e-03,-2.283333e-02,-2.274330e-02,-2.131198e-02,-1.177841e-02,-2.991985e-02,-2.891943e-02,-1.605343e-02,-1.553949e-02,-1.706980e-03,-3.520437e-02,-6.434161e-03,-2.610593e-02,-1.050628e-02,-1.304516e-02,-1.861263e-02,-4.128596e-02, 1.321450e-02,-1.667527e-02,-3.694877e-04, 7.435570e-04,-4.627617e-04,-8.328339e-03,-6.833832e-03,-5.304234e-03, 1.641731e-02,-1.652422e-03,-9.484911e-03,-5.919276e-05, 1.180331e-03,-2.154453e-02, 8.885191e-03, 1.514680e-02,-2.317709e-02,-2.467943e-02,-2.022983e-02,-3.061616e-03,-2.339292e-03,-2.156578e-02,-1.863699e-02,-3.070981e-02,-4.913507e-03,-2.592902e-02, 7.593411e-03,-1.280410e-02, 5.045461e-03,-4.701472e-03, 2.269953e-03,-2.162406e-03, 1.843380e-03,-6.898211e-03,-5.029387e-03,-3.032053e-02,-1.347331e-02,-1.066364e-02, 5.955646e-03, 3.928317e-02,-2.879992e-02,-1.467743e-02, 3.883999e-03,-1.712055e-02,-5.882232e-03,-3.031863e-02,-1.032340e-02,-7.575100e-03, 8.344189e-03,-4.554987e-03, 8.581238e-03,-1.420244e-02,-1.414424e-02,-8.136849e-03,-3.663130e-02, 1.200195e-02, 2.783439e-02, 1.490069e-03,-1.349036e-04,-9.338554e-03,-2.227979e-03, 5.664237e-03,-1.652388e-02,-2.017885e-03,-2.068052e-02,-6.563735e-03,-1.325734e-02,-6.443829e-03, 1.009240e-02,-2.086441e-02, 7.705730e-03,-5.316673e-03
 1.402165e-02, 4.041714e-02, 8.107899e-03, 2.098948e-02, 8.223477e-03, 4.795394e-03,-1.901148e-02, 3.492511e-02, 1.051337e-02, 1.059974e-02, 2.701296e-02, 2.183992e-02, 1.552594e-02, 4.745246e-03, 2.063747e-02,-9.620770e-03, 2.116339e-02, 1.299611e-02, 9.270095e-03, 1.549635e-02, 3.070794e-03, 7.963026e-03,-9.052274e-04, 1.137961e-02, 6.674262e-03, 1.741281e-02,-4.720243e-03, 9.242303e-03, 1.804100e-02,-8.332309e-04,-4.316078e-03, 6.050607e-03, 1.022979e-02, 3.206485e-03,-2.151366e-03, 2.872773e-02, 7.362371e-03,-3.831448e-03, 4.151877e-04, 1.874046e-02, 2.840761e-02,-1.713234e-03,-2.940985e-03, 1.490304e-02, 3.427447e-02, 7.237876e-03,-6.535691e-03, 2.097517e-02, 9.793859e-03, 2.207577e-02, 1.525723e-03, 1.248253e-02, 1.120879e-02,-7.028251e-03, 1.289806e-02, 2.974448e-02, 1.555574e-02, 1.742421e-02, 3.139769e-02, 2.499303e-02, 1.325944e-02, 0.000000e+00, 7.248724e-03, 1.837497e-02, 2.138597e-02, 1.427780e-02, 1.270554e-02, 9.153394e-03, 5.191848e-03, 2.065625e-02,-2.605627e-03, 2.317634e-04, 2.924114e-02, 1.368533e-02, 5.245626e-03, 7.521508e-03, 1.166280e-02, 1.084977e-02, 2.461195e-02, 1.954539e-02, 1.105497e-02, 1.840219e-02, 5.830623e-03, 3.785255e-02, 2.995695e-02, 5.135831e-02,-1.561931e-03, 1.796070e-02, 1.021039e-02, 5.524147e-03, 9.305729e-03, 8.802703e-03, 1.339796e-02,-6.453243e-03, 5.951501e-03, 2.653209e-02, 1.013295e-02
 3.842238e-02, 1.045857e-02, 2.055433e-02, 1.524886e-02, 2.545349e-02,-4.405602e-03, 1.162790e-02,-3.602485e-03, 9.293136e-03, 6.836019e-03, 4.997498e-02, 1.417486e-02, 1.768201e-02, 2.066126e-02, 1.382091e-02, 1.241620e-02, 1.167918e-02, 2.498283e-02, 1.504782e-02, 1.024949e-02, 3.922450e-02, 1.360642e-02, 2.174708e-02, 9.750981e-03, 2.494077e-02, 8.592089e-03, 2.915859e-02, 7.692148e-03, 2.126541e-02, 2.288341e-02, 1.323808e-02, 1.544793e-02, 1.034135e-02, 4.025228e-03, 2.620657e-02, 2.526603e-02, 2.338601e-02, 2.411246e-02, 1.204322e-02, 2.834776e-02, 1.004460e-02, 3.153037e-03, 3.484163e-03, 1.596549e-02, 2.212419e-02, 1.821886e-02, 2.173491e-02, 1.860083e-02, 1.342060e-02, 7.862835e-03, 2.234642e-02, 1.209532e-02, 1.646884e-02, 2.368927e-02, 2.253309e-02, 2.111456e-02, 1.555487e-02, 3.722797e-03, 1.266118e-02, 2.397260e-02, 1.523435e-02, 2.665790e-02, 2.396757e-02, 1.684054e-02, 2.012649e-02, 1.488969e-02, 2.941816e-02, 6.078347e-03, 2.218820e-02, 2.308411e-02, 3.761795e-02, 6.025575e-03, 1.817432e-02, 2.040855e-02, 1.143508e-02, 1.505359e-02, 1.057936e-02, 1.703200e-02, 1.613686e-02, 2.614136e-02, 7.952732e-04,-1.436994e-03, 9.948978e-03, 4.689121e-03, 1.039321e-02, 2.725670e-02,-1.564306e-03, 1.631553e-02, 4.773339e-02, 3.748329e-02, 1.797907e-02, 7.347721e-03, 1.341275e-02, 2.143334e-02, 2.213698e-02, 2.110602e-02, 1.664452e-02
 1.072679e-03,-2.735472e-02,-1.050797e-02,-1.112499e-03,-1.481078e-02,-1.696103e-02, 7.662920e-03,-1.230376e-02,-5.104275e-03,-1.174861e-02, 1.069443e-02,-1.266639e-02,-1.972751e-03,-1.792967e-02,-1.464250e-02,-2.852658e-02,-1.185540e-02,-6.587777e-03,-2.233330e-02,-1.194885e-02,-5.891780e-03,-9.815160e-03,-1.596256e-03,-1.733326e-02,-1.542751e-04,-1.538890e-02,-7.339145e-03, 1.017800e-02,-5.102597e-04,-1.992587e-02,-9.712042e-03,-6.735423e-03, 4.904622e-03, 1.414559e-03,-1.567819e-02,-1.361881e-02,-1.359681e-02, 3.683478e-03,-1.395147e-02,-8.802612e-04,-1.685095e-02,-1.295055e-02,-1.221131e-02,-1.534644e-02,-1.714776e-02,-1.660048e-02, 4.355473e-03, 1.907799e-03,-2.103294e-02,-1.362905e-02,-1.738685e-02,-1.103160e-02,-1.347544e-02,-1.326412e-02,-5.637606e-04,-1.881093e-02,-1.274475e-02,-1.218731e-02,-9.842840e-03,-4.682197e-03,-1.846851e-02,-5.628081e-03,-1.228403e-02,-2.366188e-03,-4.613887e-03,-1.627150e-02,-8.405372e-03,-8.829990e-03,-1.545775e-02,-1.102400e-02, 4.028416e-03,-4.609482e-04,-6.771035e-03, 4.615106e-03,-9.329926e-03,-2.652816e-03,-1.207870e-03,-5.495162e-03,-3.273151e-02,-3.362785e-02,-1.271358e-02, 1.053869e-02,-2.985451e-03,-9.075555e-03,-3.991579e-03, 7.925589e-03,-1.880163e-02, 5.604100e-04,-9.360171e-03,-1.793606e-02,-7.336519e-03,-2.074289e-02,-1.482357e-02,-8.902047e-03,-1.642998e-02,-1.237960e-02,-1.409323e-03
-2.464100e-02,-3.042967e-04, 8.407042e-03,-3.007231e-03,-1.002218e-02,-1.800471e-02, 0.000000e+00, 3.146445e-03,-4.325494e-03,-1.859024e-02,-1.658694e-02,-1.017487e-02,-5.093519e-03,-1.766765e-02,-1.434764e-02,-1.138819e-02,-6.586167e-03, 3.083575e-02,-7.877235e-03,-8.670955e-03, 1.154470e-02,-4.956123e-03,-2.131799e-03,-3.905465e-03,-2.849647e-02,-5.581670e-03,-7.393406e-03, 9.355796e-03,-7.353153e-03,-2.153226e-02,-2.335200e-03,-1.239340e-02, 2.228165e-03, 9.421273e-04,-1.198658e-02, 6.575359e-04,-5.210149e-04,-7.699545e-03,-2.080905e-03,-9.783515e-03, 7.024616e-03,-7.295940e-03,-7.309421e-03,-1.216988e-02,-4.480579e-03,-4.851750e-03,-1.678072e-02,-4.352275e-03,-1.420947e-02,-3.430575e-03,-8.594369e-03,-9.063477e-03,-2.210983e-03,-7.292692e-03,-2.820293e-03,-7.024662e-03,-1.278983e-02,-2.145704e-03,-9.403624e-03, 9.406535e-04,-1.156401e-02,-1.312059e-02,-5.444930e-03, 6.324261e-03,-4.156231e-03,-1.382847e-02,-1.250257e-02,-2.531406e-03,-3.176531e-02,-1.354222e-03,-1.253800e-02,-2.765645e-03,-4.130950e-03, 3.675421e-03,-3.656575e-03, 3.989103e-03,-1.142193e-02, 3.771193e-03, 5.514754e-03,-9.841676e-03, 2.013340e-04, 9.666484e-04, 2.694870e-03, 2.617088e-03,-9.634118e-03, 6.837110e-04,-2.153291e-02,-8.955145e-03,-1.128050e-02,-8.784096e-03, 3.648345e-04,-9.311107e-03,-1.957364e-03, 6.843430e-03,-1.195892e-02, 7.498556e-03,-1.921856e-02
 8.879105e-03,-2.880325e-02,-1.610077e-02, 3.574850e-03,-7.452283e-03,-9.358565e-03, 1.140683e-02,-6.913352e-03,-1.111331e-02, 1.142720e-02,-5.622173e-03,-3.016260e-03, 2.292314e-03,-1.378878e-02,-1.819882e-03,-2.077015e-03, 3.026788e-03, 1.511734e-02,-7.145772e-03,-5.984616e-03, 3.356654e-03, 6.885233e-03, 1.192829e-02,-8.474922e-03,-9.988884e-03,-1.003402e-02, 4.157318e-03, 1.782417e-03, 4.116010e-04,-1.586691e-02, 5.149232e-03,-1.420560e-03, 7.728075e-03, 5.411089e-03,-1.495970e-03,-6.571038e-04,-6.200493e-03,-7.976819e-04,-5.003821e-03,-3.952173e-02,-1.646199e-02, 7.369831e-03, 9.536052e-03,-7.565981e-04,-6.607906e-03, 7.110255e-03, 2.364967e-03,-2.732407e-03,-4.727831e-03, 1.721145e-03, 1.699104e-04,-2.345116e-04,-6.884566e-03,-5.764735e-04,-6.168243e-04, 1.474266e-04, 2.279426e-03,-1.935006e-03,-6.509418e-03,-2.255930e-02,-1.229434e-02,-3.519397e-03,-7.462528e-04, 7.855445e-03,-1.765639e-03,-9.348387e-03,-5.149853e-03, 3.948321e-03, 1.555690e-02,-8.867106e-03,-1.524039e-03,-7.857809e-03,-7.261242e-04,-1.007024e-02, 4.226061e-03, 6.022658e-04,-8.155288e-03,-9.609958e-04, 7.977240e-03, 7.100559e-04,-6.037650e-04, 6.603179e-04, 0.000000e+00,-8.873904e-03,-1.245143e-03, 6.832898e-03, 1.008850e-02,-6.212398e-03, 5.070851e-03,-1.877708e-02, 4.286779e-03,-1.080866e-02, 2.922625e-03, 2.124040e-03,-3.842783e-03,-7.887098e-03,-3.652890e-03
-3.810642e-03, 4.890516e-03,-7.396768e-03,-1.168863e-02,-8.499766e-03,-9.446514e-03,-1.127818e-02, 1.289826e-04,-6.334413e-03,-4.987489e-03, 7.895742e-03,-2.420769e-02,-6.022756e-03,-2.492409e-02,-2.526046e-02,-2.071551e-03,-6.408656e-03,-2.693257e-03,-1.939210e-02,-3.473573e-03,-3.813862e-02,-4.073842e-03,-1.794519e-02,-2.092114e-02, 2.882574e-03,-1.261601e-02,-1.242025e-02,-6.405447e-03, 9.257212e-04,-2.879089e-03, 6.869412e-03,-1.576757e-02,-1.008505e-02, 2.574036e-03,-7.656293e-03,-6.574754e-03, 7.288658e-03, 1.312276e-03,-3.352977e-03, 2.108820e-02,-2.695038e-02, 9.452222e-03, 8.230335e-03,-2.541505e-02,-1.050802e-02,-4.639223e-03,-6.440691e-03,-4.110144e-03,-9.266974e-04,-7.254446e-03,-3.450039e-02,-1.641966e-03,-7.250979e-03, 5.477340e-03,-5.763401e-03,-6.926174e-03,-1.077583e-03,-1.389640e-02,-2.184233e-03,-1.401320e-02,-1.746623e-02,-2.223614e-03,-4.856181e-03, 7.989029e-03, 7.236079e-03,-2.275912e-02,-8.628377e-03, 6.180051e-03, 1.389780e-03,-1.368270e-02, 4.069500e-03, 3.028484e-03, 3.321231e-03, 1.233130e-03,-3.433455e-03, 3.851072e-03,-1.027843e-02,-7.171910e-03,-5.564568e-03,-3.405449e-02, 1.026593e-02, 8.837960e-03,-4.777599e-03,-2.132955e-02,-1.667441e-02, 3.393296e-03,-5.659734e-02,-1.515703e-03, 2.522719e-03,-4.202489e-03,-6.720033e-03,-1.805206e-02,-2.001659e-02,-4.450992e-03,-1.157147e-02,-3.023160e-02,-2.888997e-03
-2.714027e-02,-1.271584e-02,-7.453012e-03,-6.870945e-03, 4.286370e-03,-1.907376e-02,-4.182514e-02,-2.088181e-02,-1.007589e-02,-2.155011e-02,-2.002133e-02,-1.366648e-02,-1.840757e-03,-5.236927e-02,-4.809018e-03,-3.613124e-02,-9.544462e-03,-2.096911e-02,-3.710547e-02,-1.229945e-02, 1.492443e-02,-1.899208e-03, 3.224539e-03, 2.605810e-03,-1.932257e-02, 0.000000e+00,-3.737989e-02,-1.826636e-02,-1.644105e-03,-1.183828e-02, 8.325240e-03,-1.192494e-02, 1.273507e-03, 1.248700e-02,-4.025277e-03,-1.654506e-02, 6.367680e-03, 2.621180e-03,-8.410562e-03,-1.873858e-02,-2.536459e-02, 1.836787e-03,-3.794943e-03,-9.654250e-03,-1.588092e-02,-1.600964e-02,-7.894951e-03,-4.401503e-03,-1.333624e-02,-1.451927e-02,-3.203656e-02,-4.229023e-03,-9.630435e-04,-2.868319e-04,-4.450160e-03,-1.543262e-02,-1.449780e-02,-1.747942e-03,-2.732948e-04, 1.811841e-03,-1.961601e-02,-2.923432e-02,-1.126351e-03, 1.430535e-02,-1.213319e-02,-1.789262e-02,-1.044380e-02,-3.815592e-03,-1.480336e-03,-9.603947e-03,-7.092259e-03,-9.986183e-03, 0.000000e+00,-2.462871e-03,-1.444494e-03,-7.192774e-03,-1.163113e-02, 0.000000e+00,-1.044546e-02,-2.056570e-02, 1.215381e-02, 7.249440e-03,-2.100304e-03, 1.802757e-02,-1.640255e-02,-1.318900e-02,-4.255529e-03,-6.070902e-03, 1.093534e-02,-5.028994e-03,-7.316702e-04,-9.675923e-03,-9.508484e-03, 2.767858e-03,-1.034180e-02, 8.890157e-03,-8.691846e-03
-7.770392e-03, 2.623602e-02, 1.228672e-02, 8.166186e-03, 2.048659e-02, 1.408758e-02,-5.158725e-02, 4.285143e-02, 1.184034e-02, 1.320787e-02, 2.467444e-02, 1.862781e-03, 4.917803e-03, 1.184217e-02, 5.637557e-03, 9.987445e-03, 1.641113e-02, 1.103373e-02, 8.046305e-03,-5.455265e-03, 3.863138e-03, 1.244154e-02, 1.375006e-02,-3.898497e-03, 2.719405e-02, 2.943114e-03, 2.776265e-02, 9.849897e-03, 1.615744e-02, 2.386265e-02, 1.146950e-03, 6.217307e-03, 8.797107e-03, 6.800113e-03, 1.633504e-02, 1.076692e-02, 1.673804e-02, 9.875385e-03, 4.240585e-04, 3.398368e-02, 7.478421e-03, 1.253512e-02, 1.279737e-02,-7.059385e-03, 3.078907e-02, 1.143010e-02, 1.662650e-02, 7.184395e-03, 1.574965e-02, 1.512323e-02, 1.709380e-02, 3.539193e-03,-7.552101e-03, 1.347884e-02, 1.216396e-02, 2.828224e-02, 1.884506e-02, 1.203702e-03, 1.094712e-02, 1.196099e-02, 2.105050e-02, 1.525992e-02, 1.465623e-02, 1.105371e-02, 1.858456e-02, 8.965081e-03, 1.671044e-02, 1.102361e-02, 4.194462e-02, 1.939106e-03, 1.836739e-02, 2.064259e-02, 6.413488e-03, 1.234555e-02, 1.546851e-02,-1.448784e-03,-1.260624e-03, 2.316839e-02, 1.294312e-02, 8.623944e-03, 1.082659e-02, 3.648569e-03, 1.623615e-02,-9.647114e-03, 9.344932e-03,-1.370834e-03, 6.254229e-03, 1.717873e-02, 1.254090e-02, 9.928171e-03, 9.241518e-03, 1.416754e-02, 7.189731e-03, 1.889577e-02, 1.813925e-02,-6.980788e-03, 2.428049e-02
 2.575739e-02,-1.688851e-02,-6.068796e-03,-3.037740e-03,-3.345957e-03,-9.000613e-03,-6.276154e-02,-5.238615e-03,-2.976856e-03,-4.471320e-03, 1.011371e-02, 1.417952e-02, 3.364432e-03,-7.802360e-03,-5.872690e-03, 1.659356e-02,-4.251899e-03, 2.246942e-03,-7.351952e-03, 1.311706e-03,-3.091053e-02,-3.036116e-03,-1.691060e-02, 9.653968e-03, 1.743936e-03,-2.433409e-03, 1.147604e-02, 1.409002e-02,-2.031790e-04, 1.284262e-02,-1.947394e-03, 5.209323e-03,-4.622977e-03, 3.892836e-03, 2.154356e-03,-6.655471e-04, 1.340852e-02,-7.046833e-03, 1.102174e-02, 3.048376e-02, 7.422766e-03,-2.322446e-03,-1.018727e-03,-9.027706e-03,-8.355698e-03, 7.737621e-03,-1.208696e-03,-9.876531e-03, 1.157121e-02,-2.643178e-02,-3.933173e-03, 1.481365e-02, 1.117132e-02, 1.909998e-02, 5.341233e-03,-2.162104e-02, 5.489501e-03,-7.541811e-03, 2.165777e-03,-7.696408e-03,-5.103160e-03, 1.409949e-02,-3.704720e-04, 1.470317e-02,-6.663330e-03,-4.012814e-03, 3.244052e-03, 6.561114e-03, 3.397165e-02, 6.667165e-03, 3.006450e-03, 8.963531e-03, 2.261317e-03, 9.146487e-03,-6.571408e-04, 1.064087e-02, 1.669230e-02, 1.188081e-02, 7.567595e-03,-5.576446e-03, 6.037228e-03,-5.826650e-03, 4.437655e-03,-1.694689e-02,-3.989902e-04, 1.372689e-02,-5.904611e-03, 9.757983e-03,-1.417930e-03, 1.831964e-02, 9.156338e-03,-7.466581e-03, 7.413092e-03, 3.959064e-03, 6.971346e-03,-9.219112e-04,-3.291271e-04
 7.634439e-03,-1.182051e-02,-3.618176e-03,-3.159546e-03, 6.994412e-04, 3.553844e-03, 9.375002e-02,-1.396473e-03,-3.912114e-03, 2.698314e-02, 4.863212e-03, 4.698509e-03, 9.068815e-03, 9.829399e-03, 8.324191e-03, 2.007915e-02, 8.395905e-03,-8.006560e-03, 1.015711e-02, 1.667252e-02,-2.433900e-03,-3.644537e-03,-7.166559e-04,-2.325565e-03, 2.136401e-02,-1.721863e-03, 7.331066e-03,-8.193801e-03, 1.148724e-02, 1.587306e-02, 5.738629e-03, 3.495342e-03,-6.016424e-03, 1.128946e-02, 8.266912e-03,-2.664984e-03,-2.456508e-03, 5.793512e-03, 7.966700e-03,-1.927540e-03,-1.178797e-03, 2.197673e-02, 2.049265e-02, 8.654695e-03, 2.711657e-03, 2.727810e-03,-3.096541e-02, 1.080669e-02,-1.166770e-02, 6.022092e-03, 3.231000e-03, 4.633364e-03, 6.084380e-03, 2.915291e-03,-1.276998e-03, 1.202673e-02,-6.408811e-03,-5.066117e-03, 3.511470e-03, 1.191083e-02, 1.087458e-02, 6.558183e-03, 3.705184e-03, 8.174010e-03,-7.187536e-03,-5.757391e-04,-1.013178e-02, 8.812617e-03, 1.733945e-01,-1.068035e-03, 1.398553e-02,-9.339001e-03,-1.128108e-03,-1.389758e-02, 2.031806e-03, 1.160545e-02,-1.227910e-02, 1.276284e-02, 8.613125e-04,-1.868974e-03, 6.775113e-03, 2.955950e-03, 1.472757e-03, 3.800718e-03, 9.581966e-04, 1.828027e-02, 2.417552e-02, 8.734622e-03, 3.503115e-02, 3.948972e-03, 3.324298e-03, 2.402342e-02, 1.713583e-03, 1.452932e-03, 1.922663e-03,-5.766962e-04, 8.562902e-03
 2.601563e-02, 4.465656e-03, 9.759339e-03, 1.313118e-02, 2.711773e-02, 2.852670e-02, 8.163257e-03, 1.391558e-02, 2.149885e-02, 4.396970e-02,-1.708292e-03,-3.764142e-02, 2.439396e-02, 4.412746e-02, 3.115856e-02, 3.969276e-03, 3.230330e-02, 2.260000e-03, 3.833275e-02, 1.698517e-02, 2.080260e-02, 1.419202e-02, 1.434473e-02,-1.308113e-02, 1.177563e-02, 1.530807e-02, 5.025153e-03, 2.370689e-02, 7.839268e-03, 7.026702e-03, 2.145393e-02, 1.489314e-02, 1.040665e-02,-5.639535e-04,-1.918644e-02, 4.008158e-03, 1.516570e-02, 1.670371e-02, 9.982977e-03, 1.506091e-02,-2.065527e-03, 3.156120e-02, 3.249482e-02, 2.760375e-02, 2.453421e-02, 1.410511e-03, 2.169778e-02, 1.178692e-02, 2.766233e-02, 1.825321e-02, 3.041693e-02, 9.686053e-03, 1.424367e-02, 3.045755e-03, 1.324764e-02, 3.312501e-02, 7.883590e-03, 6.088331e-03, 1.184357e-02, 3.312402e-02, 1.907799e-02, 1.185831e-02, 2.061011e-02, 7.186193e-03, 6.917784e-03, 2.303504e-02, 2.635040e-02,-3.094013e-03, 4.681395e-02, 2.502402e-02, 1.724167e-02, 1.287632e-02, 1.540047e-02, 5.208405e-03, 9.809495e-03, 7.215253e-03, 4.469819e-03, 1.192972e-02, 1.783718e-02, 3.558042e-02, 2.307157e-03, 1.902871e-02,-6.176378e-03, 2.461106e-02, 1.308217e-02, 1.396277e-02, 2.569055e-02, 1.271172e-02, 4.143782e-02, 4.746503e-02, 2.301223e-02, 2.914659e-02, 1.243667e-03,-9.326592e-03, 3.205391e-02, 1.915930e-02, 1.088493e-02
 5.159952e-03,-8.732903e-03,-1.416069e-02,-3.128480e-03, 7.893225e-03,-1.472839e-02,-8.097158e-03, 1.503827e-03, 7.790944e-03, 6.670557e-03, 1.692038e-02,-2.844337e-03,-7.519949e-03,-2.237420e-02,-4.700405e-02,-1.113684e-02,-1.571565e-02,-3.222102e-04,-1.916489e-02,-1.393672e-02,-3.774628e-04,-3.144837e-02,-4.596009e-03, 1.837280e-02,-9.954013e-03, 5.521502e-03, 1.068964e-02,-1.017545e-02, 3.390387e-03,-1.900470e-02,-1.295960e-02,-4.260378e-03,-4.519221e-03, 1.015384e-03,-2.825607e-02,-7.984415e-03,-2.971329e-02, 7.792413e-04, 8.237286e-03, 3.804624e-03,-2.069515e-03, 1.040439e-02, 8.654386e-03,-8.514728e-03,-6.599401e-03, 3.129095e-02, 3.089065e-03,-1.246277e-02, 7.095191e-03,-1.503447e-02,-1.580171e-02,-1.073528e-02,-8.787088e-03,-4.554348e-03,-3.281113e-03, 2.300672e-03, 1.180007e-04,-1.463337e-02,-1.729149e-02, 1.947484e-02,-2.867945e-02, 2.318098e-03,-1.127249e-02,-8.598423e-03,-1.597797e-03,-1.069512e-02, 1.060962e-03,-6.385699e-04, 2.105311e-02, 3.234511e-03, 2.905126e-03, 3.178058e-03,-3.741094e-03,-1.097223e-02,-1.680873e-02,-2.747821e-02, 3.754767e-03,-3.902149e-03, 6.623229e-02,-1.663665e-02, 1.918168e-03,-4.509177e-03,-1.242982e-02,-6.334545e-03,-1.677160e-02,-1.114755e-02,-1.636695e-03, 1.637521e-03,-1.624926e-02, 2.169802e-03,-9.908090e-02,-2.532473e-03, 2.678538e-03,-1.359836e-02,-9.484946e-03, 2.378291e-03,-2.132037e-02
 1.062330e-03, 6.407253e-03, 6.612211e-03,-1.569000e-03,-1.782338e-02,-5.823995e-03, 6.530606e-02,-5.004814e-04, 2.168673e-02,-8.739099e-03,-2.336963e-03,-9.865754e-03,-4.085432e-03, 7.628681e-03, 1.409211e-02, 3.728464e-03, 6.392574e-03, 6.283135e-03, 5.553032e-03, 4.905734e-03,-4.719059e-03,-1.266027e-02, 6.748024e-03, 7.602976e-03, 1.809767e-02, 6.054195e-03, 1.978845e-02,-8.507562e-03, 3.875909e-03, 1.899863e-02, 9.054935e-04,-5.704809e-03, 2.639358e-03,-1.915854e-03, 2.253942e-02, 1.140199e-02, 3.693270e-03,-8.916243e-03, 4.493540e-03, 1.487571e-02,-1.481661e-03,-8.778588e-03,-9.650315e-03,-3.876960e-04, 9.395075e-03,-5.951301e-03, 3.143408e-03,-1.755798e-02,-6.711033e-04, 5.871714e-04, 1.587723e-03,-7.157396e-03,-1.440561e-02,-2.772801e-04,-8.913845e-03, 1.047206e-02,-9.361146e-03, 1.239425e-02,-9.745810e-03,-1.767365e-02, 4.100148e-04,-4.240018e-03, 1.341396e-03, 4.612956e-03, 5.280897e-03,-1.138097e-03,-3.603484e-03, 2.465827e-03, 2.080189e-02, 1.975356e-03,-4.345209e-03,-6.562635e-03, 1.623925e-03, 1.078588e-02,-5.550636e-03, 2.776855e-03, 5.957084e-03,-1.025134e-02,-1.133947e-03, 6.252149e-03, 0.000000e+00, 1.009311e-02,-5.693851e-03,-5.314083e-04, 6.166610e-03, 1.657826e-02, 2.613148e-02,-1.820741e-04,-3.482287e-03, 1.032549e-02,-5.635287e-03, 4.847230e-03,-6.814086e-03,-4.029345e-03, 6.008394e-03, 1.355642e-03, 9.572261e-03
