AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
-1.262244e-02,-8.257395e-03, 3.806545e-02,-3.620074e-03,-1.538863e-02,-8.224011e-03,-1.581026e-02,-6.281205e-03,-2.441464e-02, 4.546993e-03, 5.224353e-03, 4.255531e-03, 5.190231e-03,-5.818945e-03,-1.116084e-02, 1.618101e-02, 2.725603e-03, 1.620308e-02, 3.393807e-03, 9.625811e-03,-1.536429e-03, 3.292214e-03,-1.116331e-02,-1.110541e-02,-6.755805e-04, 1.025097e-02,-1.437166e-02, 5.408049e-03, 2.012780e-03,-4.257871e-03,-2.500449e-03, 9.568840e-03, 2.152617e-03,-2.153694e-03, 4.761619e-03, 1.969696e-02, 3.713753e-03, 3.931828e-03,-1.124671e-02,-1.465423e-03, 2.368652e-02, 5.807685e-04, 5.807612e-04,-5.468581e-03,-2.835505e-03, 3.860803e-03,-5.500218e-03,-2.806487e-03,-3.389989e-03,-1.411824e-03,-2.015085e-03, 0.000000e+00, 0.000000e+00, 4.241682e-03, 3.002495e-03,-9.395566e-03, 1.430682e-03, 5.658566e-03,-1.125129e-03, 1.408803e-02,-1.422508e-03,-8.214256e-03,-1.160295e-03, 6.148305e-04, 2.394791e-02,-2.038944e-03,-1.339622e-02, 1.421307e-04, 4.977710e-02, 1.022382e-02, 7.859471e-04,-1.095404e-02, 4.331491e-04,-2.315884e-03,-6.340869e-03,-1.014534e-02,-4.633609e-03, 3.690595e-03, 6.727366e-03,-1.326122e-03,-2.284227e-04,-8.010234e-03, 5.714709e-04, 2.278129e-02,-3.077366e-03,-7.216432e-03,-1.668533e-02,-1.299958e-02,-4.675465e-02, 1.400828e-03, 9.175791e-04,-1.395225e-02, 7.722001e-04,-4.743849e-03,-8.274070e-03,-6.355084e-03,-1.803545e-03
-2.785463e-02,-1.263279e-02,-6.011471e-03, 5.522049e-03, 1.006625e-02, 3.316668e-03, 4.016060e-02, 4.402196e-03,-9.077515e-04, 2.592129e-03,-6.420012e-03, 1.033900e-02, 2.839793e-03, 1.254189e-02, 2.671235e-02,-4.933189e-04, 2.193583e-02, 3.309406e-03, 2.512675e-02, 5.508619e-03,-4.873107e-03, 1.162582e-02,-5.249784e-04, 2.328651e-02, 1.115447e-02,-3.219534e-03, 5.334557e-03, 1.466929e-03, 4.218833e-03, 5.276701e-03, 1.025403e-02, 1.033627e-03, 1.913695e-02, 2.928901e-03, 3.828113e-03, 8.172420e-03, 3.276912e-03,-5.874781e-03, 4.739103e-03, 1.027371e-02, 1.341574e-03, 1.976038e-02, 1.976043e-02, 2.726426e-02,-1.895764e-03, 2.046155e-02,-6.555091e-03,-7.504656e-03, 7.774649e-03, 1.145058e-02, 1.772469e-02, 1.596074e-03, 6.750705e-03, 3.700697e-02, 3.741405e-03,-7.530836e-03,-3.915829e-05,-8.606004e-03, 3.753965e-03, 4.473982e-03, 2.421638e-02, 3.564991e-02, 7.394153e-03,-6.144527e-04,-8.504767e-03, 3.115440e-02,-1.871563e-02, 4.961899e-03,-6.315291e-03, 9.738218e-03, 3.299310e-02, 8.743981e-03, 1.441432e-03, 4.255485e-03, 2.030305e-03, 7.687050e-03,-1.473998e-02, 7.946652e-03, 5.779300e-03, 2.656040e-02, 8.910449e-03, 4.416344e-04, 5.996258e-03, 6.981138e-03, 8.796616e-03, 1.038414e-02,-1.064151e-02,-2.194888e-03, 1.923519e-03, 1.749078e-02, 2.487643e-03, 2.183952e-02, 8.167509e-03, 5.447395e-03, 5.178356e-03, 3.779487e-03, 4.630045e-03
-5.882026e-03, 2.035287e-03, 8.164254e-03,-4.335603e-03,-4.983017e-03,-1.019267e-02, 3.088809e-02,-5.056731e-03,-1.168205e-03, 3.592513e-02,-5.538401e-03, 4.193760e-03,-2.007978e-02,-1.651339e-03,-1.465754e-02, 1.383390e-02,-1.834645e-03, 1.499226e-03, 9.429568e-04, 3.055011e-03,-2.577280e-03,-1.686717e-02,-4.465701e-03, 1.484831e-02,-1.103142e-02,-7.732803e-03,-3.714420e-03,-9.277381e-03, 8.002401e-04,-6.787582e-03,-7.891500e-04, 0.000000e+00,-2.337631e-02,-4.765007e-03,-6.718991e-03,-1.031652e-02,-2.002429e-03, 1.111580e-02,-3.301578e-03, 1.531968e-02,-6.697791e-03,-4.363261e-03,-4.363380e-03,-1.858499e-03,-5.381533e-03, 4.521145e-04,-4.381768e-03, 4.253406e-03, 1.125048e-03,-2.096358e-03, 1.102114e-03,-9.559597e-03,-2.205752e-03,-1.357551e-03, 3.407323e-03,-2.304709e-02, 1.732966e-02, 1.179761e-02,-2.992102e-03, 1.172019e-02,-4.450454e-03, 2.294858e-02, 1.258060e-03,-2.458514e-03, 3.573739e-03,-1.931687e-02,-1.869758e-03,-4.655454e-03, 3.354866e-02, 1.513064e-03,-2.889716e-02,-5.200938e-03,-1.441634e-04, 7.706704e-04,-6.802762e-03,-3.120488e-03, 8.031433e-03,-4.824365e-03, 5.389373e-04,-1.228976e-02,-1.743691e-02, 7.125324e-03, 4.541922e-03, 1.188550e-02, 7.801562e-03,-1.747166e-02,-1.744164e-03, 3.143044e-03, 0.000000e+00,-4.736770e-03,-2.873292e-03,-9.030571e-03, 7.143754e-03, 8.803502e-03,-4.865794e-03,-9.556629e-03,-1.157826e-02
 2.690921e-03,-2.176409e-02, 3.002238e-04, 5.806385e-03, 5.271502e-03,-7.792716e-03, 0.000000e+00,-4.292845e-03, 4.028141e-03,-7.747902e-03,-6.807131e-03, 5.680023e-03,-2.627080e-02,-9.098593e-03,-1.375986e-02, 6.078364e-05,-1.548506e-02, 2.694295e-03,-2.355171e-04,-1.270859e-02,-2.584038e-03, 2.261940e-03, 6.860645e-03,-1.145038e-02,-1.352008e-02,-1.874426e-03, 5.858682e-03, 9.858202e-04,-3.598100e-03,-4.464383e-03,-1.038376e-02,-7.057644e-03,-4.119972e-03, 2.316911e-03,-8.957592e-03,-5.957160e-03, 4.117616e-03,-2.017794e-02,-1.088549e-02, 6.763621e-03,-9.777609e-03,-1.973516e-03,-1.973412e-03,-9.012176e-03, 6.047120e-03,-9.342899e-03,-1.398248e-03,-7.529501e-03,-8.048855e-03, 1.397401e-04, 1.981804e-03,-6.970395e-03, 6.985564e-03, 7.574696e-03,-1.337248e-02, 5.752277e-04,-3.291288e-03, 3.300110e-04, 7.503378e-04,-1.158499e-03, 5.867507e-03,-1.223660e-02, 1.047374e-04,-9.858062e-03, 1.424675e-03,-7.575727e-03,-5.245218e-03, 1.063134e-02,-2.056452e-02,-1.057389e-02,-2.192642e-02, 2.902182e-04, 3.023997e-03, 1.539567e-03,-1.602580e-03,-1.855651e-03,-1.562393e-03,-1.206098e-02,-1.794707e-03,-3.274480e-03,-2.765420e-03,-3.631169e-03,-1.276661e-02,-1.076706e-02,-6.223520e-03,-2.405860e-02,-1.921964e-02,-1.159160e-02,-1.324610e-02,-6.908320e-04,-2.750658e-03, 1.518783e-03, 9.310907e-03,-2.433489e-02,-1.725446e-03, 2.777317e-03, 6.255260e-03
-1.562912e-02, 5.636291e-03, 6.596891e-03, 7.071480e-03, 1.363399e-02, 3.085058e-03,-1.498126e-02, 5.899088e-03, 5.952904e-03,-1.126308e-04, 2.211854e-02, 9.966826e-04, 3.547806e-02,-4.590962e-02, 3.393750e-03,-8.867915e-03, 2.613621e-03, 5.673373e-03,-9.891625e-03, 4.680312e-03, 1.813474e-02,-1.786536e-03, 6.812890e-03, 2.412979e-03,-2.056099e-03, 4.942015e-04, 1.094311e-02,-4.923246e-04, 8.625984e-03, 2.562263e-03, 1.573901e-02, 3.675427e-02, 3.940292e-04, 1.694995e-03, 9.038556e-03, 8.988682e-03, 1.745336e-02, 3.834627e-03, 2.392576e-03, 6.072158e-03, 2.042895e-02, 6.573048e-03, 6.573032e-03, 9.545082e-03,-7.906672e-04, 1.216920e-02,-2.851316e-03, 1.706984e-02, 8.763079e-03, 4.481398e-03,-6.590276e-04,-2.698385e-04,-8.784838e-05, 2.100990e-02, 1.107957e-02, 2.875493e-03, 2.813701e-02,-1.429803e-03, 1.386819e-02, 6.263060e-03, 1.388662e-03, 5.264973e-02, 9.528555e-03,-7.467567e-03, 9.719858e-03,-1.526316e-03, 5.649592e-03,-7.012905e-03,-1.286533e-02, 9.542550e-04,-2.241796e-02, 5.810555e-04, 5.024346e-03, 1.729429e-02, 5.400177e-03,-3.020086e-03, 1.517802e-02, 1.196891e-02,-1.779967e-02,-5.913442e-03,-4.853051e-03, 4.900958e-03,-3.202310e-03,-7.585622e-03, 3.451933e-02, 6.430847e-03,-1.187350e-03, 1.426305e-02, 1.887130e-02, 5.453914e-03, 1.129525e-02, 9.099046e-03, 1.524802e-02,-2.319867e-03, 0.000000e+00,-2.917014e-04,-3.842924e-03
 1.239642e-02, 2.949323e-03, 8.340465e-03,-8.741578e-03,-1.034685e-03, 1.118925e-03,-3.802368e-03,-9.698687e-03, 1.209315e-02,-3.791997e-03, 2.163942e-02, 8.795152e-03, 4.298854e-03, 3.062088e-02, 8.267564e-03, 3.115397e-03, 1.829433e-02, 1.217339e-02, 1.879173e-02, 6.777080e-03, 5.089078e-03, 1.187194e-02, 2.082815e-03, 8.987460e-03, 4.291798e-03,-4.840573e-03, 7.507407e-03, 6.896607e-03, 1.889413e-02, 8.490535e-03, 9.544217e-03, 3.177206e-03, 1.969784e-04, 5.537476e-03, 8.044084e-03, 2.672654e-02, 9.610473e-03, 1.372381e-02, 1.050147e-02, 8.990416e-04, 1.568234e-02, 4.552029e-03, 4.552077e-03, 2.270701e-02, 7.123276e-03,-1.803509e-03, 2.911753e-03, 1.631698e-02, 4.021873e-03, 6.413333e-03, 1.495457e-02,-1.890333e-03, 2.722539e-03, 5.285842e-03, 1.276846e-03, 1.920839e-02,-8.903187e-03, 6.496798e-03, 9.611712e-03, 1.083423e-02, 1.497965e-02, 2.321014e-02, 4.979057e-03, 2.507850e-02, 4.461108e-03, 3.669703e-02,-8.988810e-03, 9.745474e-03, 2.179120e-02, 1.906195e-03, 1.638058e-03, 1.305842e-02, 1.142703e-02, 1.095521e-02, 5.661962e-03, 1.701106e-02,-1.541522e-03, 4.967421e-03,-1.647328e-03, 1.321905e-02, 3.715434e-03,-1.247372e-04, 3.796768e-03, 2.160141e-03,-2.804871e-03, 3.620870e-02,-3.270211e-03, 1.343754e-02, 1.413027e-02, 1.528233e-03, 1.558424e-02, 1.112111e-02,-7.911453e-03, 1.372055e-02, 1.987917e-02,-3.062857e-03, 1.089159e-02
-6.131510e-03, 7.440991e-03,-1.008594e-02, 1.026476e-02,-1.372343e-02,-1.592170e-02, 1.908404e-02,-9.680185e-03, 1.398187e-03, 9.798757e-03, 2.446337e-02, 7.402460e-03,-2.503529e-02,-1.273303e-02,-1.863465e-03, 2.861001e-03, 1.033148e-02, 1.173785e-03,-1.144036e-02, 1.156897e-03,-7.721527e-03,-2.793677e-03,-1.039337e-03,-1.399714e-02,-3.931042e-03,-4.566436e-03, 1.328592e-03, 1.956773e-03, 1.366376e-03, 1.140564e-02,-3.225847e-03,-3.500395e-03,-4.134655e-03, 4.895042e-03,-1.813582e-03, 1.229195e-02,-3.070608e-03,-1.270069e-02,-1.889471e-03, 1.796335e-03,-2.627838e-03,-2.009412e-03,-2.009466e-03,-1.747136e-03, 1.257564e-03,-1.656039e-03, 8.140132e-03, 9.173813e-03, 3.364994e-03, 2.215983e-03,-2.165819e-04,-1.353289e-03,-1.576451e-03,-2.629025e-03,-4.250128e-03, 7.876334e-03, 1.952257e-03, 3.610775e-03, 4.027888e-03, 5.017548e-03,-6.832882e-03, 1.341856e-02,-6.296010e-03, 7.033083e-03, 1.051916e-02,-8.358077e-03, 1.398307e-02, 4.056432e-03, 3.357145e-02, 1.046643e-02,-1.635379e-03,-1.432175e-03, 9.884154e-04,-8.968155e-03,-7.210035e-04, 2.222447e-02, 1.852537e-03, 2.471714e-03, 8.617813e-03, 3.913841e-03,-1.388294e-03, 5.003690e-04,-2.909635e-03,-3.979251e-03, 1.481699e-04,-1.952719e-02,-1.849074e-02,-3.085280e-04,-5.460135e-03,-9.155704e-04,-3.580091e-03,-4.161770e-03, 4.049394e-03,-6.652950e-03,-8.475182e-03, 3.950316e-03, 5.724379e-03
-3.565233e-02, 7.090139e-03,-2.996344e-04,-2.862934e-04, 1.837745e-03,-5.109293e-03,-1.123594e-02,-4.598125e-04,-1.015159e-03, 1.787714e-02, 6.697922e-03,-4.897686e-04, 1.849395e-02,-1.375775e-02,-2.240690e-03, 1.133500e-02, 5.339075e-03, 2.636589e-03,-2.834303e-03,-5.883017e-03,-2.678901e-03, 7.843987e-03, 1.196040e-02,-1.145368e-02, 3.431817e-03, 8.976232e-04, 3.807297e-03, 2.392584e-02, 1.150100e-02, 1.002421e-02, 2.678190e-03,-3.178469e-03, 1.975908e-04,-4.566858e-03, 5.087331e-03,-7.143855e-04, 1.047256e-02,-5.513292e-03,-4.731882e-04,-3.970334e-03,-9.883666e-04,-2.262201e-02,-2.262201e-02,-7.292234e-03,-3.453588e-03, 6.786427e-03,-9.411392e-03, 0.000000e+00, 9.581640e-04, 2.902550e-03,-5.634833e-03, 2.168005e-03, 8.770594e-04,-5.837054e-03, 2.134135e-03,-1.255886e-02,-9.779088e-03,-2.180407e-03, 2.188534e-03, 3.403396e-03,-1.100673e-03,-2.427491e-02, 8.309437e-03, 1.822419e-03, 2.544555e-03,-4.957465e-03, 2.236533e-03,-1.253710e-03, 2.132487e-02, 1.694624e-03,-8.192829e-04, 2.868588e-03, 5.784625e-03, 8.295604e-03, 5.922587e-03,-1.793453e-03,-1.016951e-02, 7.278561e-03,-6.181136e-03,-7.797235e-03,-2.548526e-03,-3.375208e-03,-7.294805e-03, 5.327068e-03, 1.479130e-04,-3.144644e-03, 1.063495e-02,-2.467310e-03, 1.022322e-02, 2.825255e-03, 1.694023e-02,-8.951521e-04,-3.164507e-03,-1.639675e-02,-9.401447e-03,-4.808518e-03,-3.353026e-04
-3.154982e-02, 1.496020e-02,-1.019197e-02, 5.582509e-03,-2.620105e-04,-5.991396e-03, 1.515150e-02,-2.116899e-02, 7.878101e-03,-3.043310e-03,-2.024905e-02,-7.351813e-03, 5.094421e-03, 6.974630e-03, 2.245722e-03, 6.486328e-04, 4.770642e-03, 2.337949e-03, 8.289702e-03, 1.099046e-02, 1.790732e-03,-1.760440e-03, 7.194812e-03, 6.853931e-03, 9.577734e-03, 7.771053e-03, 3.677921e-03, 4.767649e-04,-1.927444e-03, 5.227989e-03,-1.446564e-03, 6.712495e-03, 9.883499e-03, 1.009320e-02,-5.603961e-03, 2.215864e-02, 2.539884e-03, 3.269433e-03, 3.787494e-03,-5.272062e-03, 8.902112e-03, 2.322862e-03, 2.322939e-03,-3.967259e-03, 7.403711e-03, 1.797339e-03,-6.229985e-04,-5.454010e-03, 4.307611e-03,-2.618564e-03, 1.024379e-02, 8.920892e-03,-2.541609e-03, 9.280335e-03, 1.171308e-03, 1.554538e-02,-1.356649e-03,-2.180662e-04, 8.369343e-03,-2.035245e-03,-2.753857e-04,-2.746362e-02, 2.162588e-03,-6.365613e-03,-1.084467e-02, 1.793711e-02, 1.190031e-02, 2.650236e-03,-1.701305e-02, 8.460660e-03,-1.803274e-02,-7.437163e-03, 4.347838e-03,-4.487657e-03, 3.590192e-03,-1.683740e-03, 3.113435e-03, 1.864936e-03,-3.475386e-03, 1.309692e-03,-1.393703e-03, 4.703555e-03,-7.642812e-03, 1.159135e-02, 2.664271e-03, 7.360608e-03, 1.924245e-02,-1.855679e-03, 4.872628e-03, 7.612386e-04, 1.136063e-03,-5.677058e-03,-1.244953e-03,-1.455770e-02, 9.778715e-03, 9.955803e-03,-5.580068e-04
 4.150888e-02, 2.716746e-02,-9.691007e-03,-5.124539e-03,-7.077338e-03, 2.009181e-02, 1.492536e-02,-8.932875e-03,-7.816522e-03,-1.092317e-02, 2.037192e-02,-2.303864e-03,-3.379238e-02, 1.991331e-02,-2.763239e-02, 6.768824e-03,-4.523784e-03, 8.745592e-04,-2.114329e-03,-5.017486e-03, 2.553198e-04, 8.355285e-04,-5.106031e-04, 8.103988e-04,-2.541222e-03, 3.757103e-03,-2.868594e-02, 2.383527e-03,-5.792720e-04, 4.672310e-03,-1.894442e-03, 1.333907e-03, 8.612154e-03,-4.844833e-03,-7.998370e-03,-5.594165e-03, 8.817469e-03,-1.105130e-02,-3.773203e-03,-2.455826e-03,-4.215716e-02,-1.343574e-02,-1.343579e-02, 4.056387e-02,-1.407217e-03,-2.242963e-03, 4.673941e-04, 1.051172e-02, 0.000000e+00, 2.901892e-03, 1.014048e-02, 0.000000e+00,-1.089531e-02,-6.755512e-03,-4.998692e-03,-4.453596e-03,-2.887792e-03,-4.480918e-03, 3.969744e-03,-4.305130e-03, 1.653112e-03,-8.305643e-03, 3.186645e-03, 0.000000e+00,-7.697636e-03, 5.384313e-03,-6.247714e-03,-7.929476e-03,-4.140036e-02, 1.677564e-03, 9.182289e-03,-1.728803e-03,-1.675311e-03,-3.758388e-04, 3.177923e-04,-6.522776e-03, 5.431356e-03,-4.537498e-03,-2.386121e-03,-1.569646e-02,-1.860669e-03,-2.934007e-03,-1.481027e-02, 3.764872e-03,-2.956991e-04,-2.609597e-02, 5.899594e-03, 7.125273e-03, 7.459676e-04,-6.086314e-04, 4.159546e-03,-3.906351e-03,-1.557899e-03,-1.096042e-02,-5.694536e-04, 3.334599e-03,-6.701858e-04
-6.738044e-03, 2.476102e-02, 2.446406e-03, 0.000000e+00,-3.959913e-03,-9.285594e-03, 7.352934e-03,-4.506329e-03, 2.159843e-03, 5.763607e-03, 7.234224e-03, 1.979111e-03, 1.237533e-02,-4.244492e-02, 1.536066e-02, 3.069554e-03, 4.391651e-02,-1.747668e-03,-2.919056e-02, 5.357575e-03, 7.786580e-03, 1.029372e-02, 1.965320e-02,-2.591176e-03, 4.416122e-03,-5.614513e-03, 8.783374e-03,-3.804009e-03, 7.921240e-03, 6.756196e-03, 6.029642e-03, 1.065395e-02, 1.707748e-02, 4.412096e-03, 1.429348e-02, 0.000000e+00, 3.917878e-03, 1.747868e-02, 8.522601e-03, 4.664766e-03, 6.141703e-03,-5.411102e-03,-5.411188e-03,-5.671565e-04, 1.863457e-02, 8.691663e-03, 5.504087e-03, 2.578006e-02, 1.096099e-02, 4.408726e-03,-8.116231e-03, 5.091233e-03, 5.863020e-03, 7.557084e-03, 1.282693e-02, 3.438658e-02, 3.951445e-03, 7.245218e-03, 8.626974e-03, 2.799236e-02, 2.755207e-04, 9.715219e-03, 4.917769e-03, 6.406393e-03, 4.936799e-03, 1.022370e-02, 7.766292e-03,-3.225788e-03, 2.256925e-03,-4.652849e-03, 1.323351e-02,-5.778310e-04, 1.329042e-02, 8.267778e-03, 4.759064e-03, 9.055715e-03, 5.402096e-03, 9.700146e-03, 2.759921e-03, 1.328902e-02, 2.097192e-03, 1.127099e-03,-1.803712e-03, 2.283195e-03, 1.786802e-02, 8.574442e-03, 8.211284e-03, 1.968646e-02, 1.379049e-02, 2.359688e-03, 1.631967e-03,-1.176476e-02,-1.997726e-03, 1.493654e-02,-1.710237e-03,-5.201486e-03, 8.159090e-03
-5.331585e-03, 2.471217e-02,-1.220182e-03, 3.147973e-03, 6.626027e-03,-3.407970e-03,-1.021898e-01,-2.215900e-02, 6.085963e-03, 6.063278e-03,-1.062924e-02,-1.580493e-02,-2.923124e-03,-1.241097e-02, 3.404018e-03, 4.224540e-03, 8.319011e-03, 5.544010e-03, 1.018461e-02, 2.006279e-02,-1.519888e-03, 6.426566e-04, 8.009540e-03,-7.468742e-02, 2.197692e-03, 2.377508e-03,-6.486292e-03, 3.341121e-03,-1.149912e-03, 4.357487e-03, 9.544482e-03,-3.294577e-03,-1.335644e-03, 1.196641e-02, 9.755653e-03,-7.735635e-03,-1.100683e-03,-5.068761e-03, 3.474144e-02, 9.673848e-03,-7.121141e-03,-9.573781e-03,-9.573710e-03, 2.439571e-02, 6.456672e-03, 7.428458e-03, 4.234072e-03,-6.305093e-02, 6.285159e-04, 4.526667e-03, 4.306831e-04, 5.065444e-03, 2.560970e-03, 8.250914e-03,-8.232149e-03, 4.072161e-03,-4.490119e-03, 5.448335e-03, 7.126443e-04, 1.106937e-02,-1.375512e-03,-1.592571e-02, 6.729410e-03, 8.487597e-03, 5.380218e-03, 7.855430e-02, 0.000000e+00, 6.612596e-03, 1.504606e-02,-3.552958e-03,-6.530503e-03, 1.415395e-02, 6.903863e-04,-1.080912e-02, 3.875385e-03, 9.423655e-03,-7.061704e-03, 6.365548e-03, 5.688274e-03, 1.311460e-02, 1.139567e-02,-6.237639e-05, 7.228672e-03, 1.138784e-03, 6.818833e-03,-1.062716e-03, 4.071944e-03, 1.116120e-02, 2.941170e-03, 6.228113e-03, 5.764942e-03, 3.358109e-03,-1.007001e-02, 9.731564e-03,-2.854524e-03, 5.083541e-03, 6.651875e-03
 9.540371e-03,-2.411621e-02, 4.887196e-03, 4.991894e-03,-7.898573e-04, 2.336837e-02,-4.065037e-03, 1.474151e-02,-1.260153e-03,-7.092488e-03, 0.000000e+00,-6.356448e-03,-1.172708e-02, 1.885087e-02, 1.696188e-02,-2.155414e-03, 1.295244e-02, 1.131765e-02, 2.880097e-03, 1.024513e-03,-1.268824e-04, 6.458088e-04,-1.142265e-02,-1.456377e-02, 1.197930e-02, 9.387499e-03,-1.840959e-02,-7.136200e-03, 4.336283e-03, 5.814087e-03, 1.868992e-02,-1.817581e-03, 7.451181e-03, 7.483493e-03, 1.664015e-02, 4.252206e-03, 7.813777e-03, 7.072042e-04,-1.360764e-03,-4.726506e-03,-2.219963e-02,-2.327909e-03,-2.327932e-03, 1.038372e-02, 4.276683e-03, 8.700796e-03, 8.279185e-03,-3.764938e-03, 1.570336e-03,-7.373798e-03, 1.721991e-03,-1.511946e-02, 4.404593e-03,-6.137454e-03, 1.447273e-02, 1.216480e-02,-2.379973e-03, 7.478971e-03,-1.851872e-02, 1.160527e-02, 2.285861e-02, 3.607555e-02, 5.975755e-03,-3.607476e-03, 5.118379e-03, 2.680954e-02,-3.669615e-03, 6.009753e-03,-1.371380e-02, 3.565626e-03,-4.930073e-03,-5.126679e-03,-3.863511e-03, 5.275420e-03, 1.429815e-04, 5.556943e-04, 0.000000e+00, 5.980627e-03, 3.284006e-03, 1.682849e-02, 8.277396e-03, 6.629538e-03, 5.083804e-03,-6.501152e-04, 4.034134e-03, 2.127694e-03, 1.940919e-02,-1.789892e-03, 2.675967e-02, 9.283463e-03, 5.358313e-03, 3.954910e-03, 4.928589e-03, 9.403097e-03, 3.149041e-03, 5.491051e-03, 1.321624e-03
 1.830521e-02, 3.789132e-02,-2.735449e-03, 1.121191e-02, 7.905118e-03, 1.531597e-02, 1.142857e-01,-2.641331e-03,-3.533295e-03,-7.698223e-03,-5.811040e-04,-7.912458e-03, 1.753113e-03, 6.167466e-03,-1.853384e-03, 1.474838e-03,-4.093555e-03, 1.434774e-03, 5.744826e-03,-8.903063e-03, 1.649293e-03, 3.226869e-03, 4.772571e-03, 1.424464e-03,-7.168861e-03,-2.939495e-04, 2.115163e-02,-1.197863e-02, 9.595446e-03,-7.764577e-03, 1.186752e-03, 9.930690e-04, 2.313700e-02, 1.485618e-03, 8.799798e-04,-2.046565e-02,-9.542554e-03, 1.046534e-02,-3.180735e-03,-1.373395e-02,-2.095566e-03, 5.496034e-02, 5.496038e-02,-2.671993e-03, 1.079820e-02,-1.900610e-03, 4.406367e-02,-2.834265e-03,-1.724707e-03, 2.200956e-03,-6.660572e-03, 0.000000e+00,-2.850360e-02,-1.946123e-02, 7.762467e-03, 1.175241e-02,-4.232799e-03, 5.702242e-03, 8.345663e-03,-6.493505e-03, 5.654483e-03, 2.928740e-03, 1.610231e-03,-4.222921e-03,-8.796229e-03,-1.349008e-02, 1.694287e-02,-2.639414e-03, 5.572025e-02,-7.292167e-03, 1.651926e-03,-6.871099e-03,-5.401556e-03,-1.124180e-03, 1.057904e-02,-1.321790e-02, 3.246446e-03, 6.859056e-03,-9.638036e-03,-4.455643e-03, 4.561879e-04, 3.417004e-03, 5.057917e-03,-7.318426e-03, 1.722293e-03, 1.273887e-02, 2.301796e-02,-1.135674e-02,-1.963585e-03, 1.218978e-02,-4.213834e-03, 2.727381e-03, 0.000000e+00,-3.493265e-03,-2.568564e-03,-1.293300e-03,-2.419780e-03
-1.235580e-01,-8.994748e-03,-3.051808e-04, 1.263352e-03,-3.660115e-03, 3.839886e-03, 2.197800e-02,-5.416926e-03, 8.357680e-03, 1.995449e-02,-1.423602e-02, 6.278552e-03, 1.386427e-02, 9.631990e-03, 7.835919e-03, 1.084397e-02, 1.440943e-03, 2.607442e-02, 1.856229e-02,-2.581005e-03, 3.419940e-03, 8.822764e-03,-1.050023e-02, 1.102379e-02, 1.444144e-02, 7.540311e-03, 1.097285e-02, 1.939849e-02,-1.045440e-02, 4.260413e-03, 5.066222e-03, 6.615213e-04, 0.000000e+00, 5.785825e-03, 7.033649e-03,-7.205617e-04, 2.097542e-02,-1.133651e-02, 5.014329e-03, 2.030211e-02, 7.350367e-03, 1.714099e-02, 1.714101e-02,-4.121921e-03, 1.339158e-02,-4.391931e-04,-1.465410e-03,-7.579313e-03, 2.356039e-03, 3.431892e-03, 3.027799e-03,-5.385884e-04, 3.159819e-03, 1.450406e-02,-2.935370e-02, 1.399176e-02, 9.080937e-03,-1.818871e-03, 1.439482e-03, 1.198255e-02,-1.392223e-02, 8.436056e-03, 1.809406e-03, 1.211801e-02, 4.203293e-03,-3.087669e-03, 7.242520e-04, 4.317708e-03, 4.222351e-01, 1.450319e-02, 4.946158e-03, 7.206680e-03, 5.848421e-03, 7.504190e-03,-3.819317e-03, 1.035542e-02,-7.551282e-03, 9.651822e-03, 2.019562e-03, 1.086961e-02, 7.750294e-03, 4.086811e-03,-8.881020e-04, 1.343418e-02,-5.729212e-04, 1.991610e-02, 2.749999e-02, 3.022310e-04, 5.544679e-03,-1.115630e-02, 2.240446e-02, 6.041621e-04, 3.206694e-03,-4.673809e-03, 6.008675e-03, 4.317385e-03, 7.166792e-03
